name,brand_name,manufacturer,supplier_name,active_ingredient,category,form,strength,unit,route,indication,contraindications,side_effects,drug_interactions,storage_conditions,handling_precautions,controlled_substance,prescription_required,stock,purchase_price,price,reorder_level,reorder_quantity,expiry_date,batch_number,storage_location,status
Furosemide,Lasix,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Furosemide,Cardiovascular,Tablet,40mg,tablet,Oral,Edema; heart failure; hypertension,Anuria; severe hypokalemia,Hypokalemia; dehydration; ototoxicity,Aminoglycosides; lithium,Below 25C; protect from light,Monitor K+; take in morning,false,true,640,1.80,3.50 ETB,100,400,2026-08-30,FUR0826-A,Cardiology Shelf,Active
TLE (Tenofovir/Lamivudine/Efavirenz),Atripla,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),TDF 300mg + 3TC 300mg + EFV 600mg,Antiretroviral,Tablet,300/300/600mg,tablet,Oral,HIV-1 infection (first-line ART),Concurrent rifampicin (use alternative); psychiatric illness,CNS effects; rash; nephrotoxicity (TDF),Rifampicin reduces EFV levels,Below 30C; original container,Take at bedtime; on empty stomach,false,true,360,42.00,75.00 ETB,60,200,2026-11-05,TLE1126-A,HIV Program Storage,Active
Cotrimoxazole,Bactrim,Addis Pharmaceuticals Factory,Addis Pharmaceuticals Factory,Sulfamethoxazole 800mg + Trimethoprim 160mg,Antibiotic,Tablet,800/160mg,tablet,Oral,UTI; PCP prophylaxis (HIV); typhoid,Sulfa allergy; severe renal/hepatic impairment; G6PD deficiency,Rash; Stevens-Johnson; hyperkalemia,Warfarin; methotrexate; ACE inhibitors,Below 25C; dry,Adequate hydration; counsel on rash,false,true,720,2.00,4.00 ETB,150,500,2027-01-20,CTX0127-A,HIV Program Storage,Active
Isoniazid,INH,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Isoniazid,Anti-TB,Tablet,300mg,tablet,Oral,Tuberculosis (active and latent),Severe hepatic disease; INH-induced hepatitis history,Hepatotoxicity; peripheral neuropathy,Rifampicin (additive hepatotox); phenytoin,Below 25C; dry,Add pyridoxine 25mg daily; LFTs monitoring,false,true,580,2.20,4.50 ETB,100,400,2026-12-15,INH1226-A,TB Program Storage,Active
Rifampicin,Rifadin,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Rifampicin,Anti-TB,Capsule,300mg,capsule,Oral,Tuberculosis; leprosy,Jaundice; concurrent saquinavir,Orange body fluids; hepatotoxicity; flu-like syndrome,Many CYP3A4 inducer interactions; OCP failure,Below 25C; dry; protect from light,Take empty stomach; warn about orange urine,false,true,540,3.60,7.00 ETB,100,400,2026-10-30,RIF1026-A,TB Program Storage,Active
Pyrazinamide,Tebrazid,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Pyrazinamide,Anti-TB,Tablet,500mg,tablet,Oral,Tuberculosis (intensive phase),Severe hepatic disease; acute gout,Hepatotoxicity; hyperuricemia; arthralgia,Probenecid; allopurinol,Below 25C; dry,Monitor LFTs and uric acid,false,true,460,2.80,5.50 ETB,80,300,2026-11-22,PZA1126-A,TB Program Storage,Active
Ethambutol,Myambutol,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Ethambutol HCl,Anti-TB,Tablet,400mg,tablet,Oral,Tuberculosis (combination therapy),Optic neuritis; children under 6,Optic neuritis (dose-related); hyperuricemia,Aluminum antacids reduce absorption,Below 25C; dry,Baseline and monthly visual acuity check,false,true,420,2.60,5.00 ETB,80,300,2026-09-18,EMB0926-A,TB Program Storage,Active
Prednisone,Deltasone,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Prednisone,Hormonal,Tablet,5mg,tablet,Oral,Inflammation; autoimmune; asthma exacerbation,Systemic fungal infection; live vaccines,Hyperglycemia; weight gain; osteoporosis; mood,NSAIDs (GI bleed); warfarin; vaccines,Below 25C; dry,Taper after prolonged use; take with food,false,true,540,1.90,3.50 ETB,80,300,2027-02-10,PRD0227-A,Main Pharmacy Shelf C1,Active
Dexamethasone,Decadron,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Dexamethasone Sodium Phosphate,Hormonal,Injection,4mg/mL,ampoule,IV/IM,Severe inflammation; cerebral edema; antiemesis,Systemic fungal infections,Hyperglycemia; hypertension; immunosuppression,NSAIDs; live vaccines; phenytoin,Below 25C; protect from light,Slow IV push; monitor glucose,false,true,280,8.50,15.00 ETB,50,200,2026-08-25,DEX0826-A,Refrigerator (Cold Storage Room),Active
Phenytoin,Dilantin,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Phenytoin Sodium,Neurological,Capsule,100mg,capsule,Oral,Seizures (tonic-clonic and partial),AV block; sinus bradycardia; porphyria,Gingival hyperplasia; hirsutism; ataxia,Many drug interactions (CYP inducer),Below 25C; dry,Therapeutic drug monitoring; counsel on oral hygiene,false,true,320,3.40,6.50 ETB,60,200,2026-11-08,PHE1126-A,Neurology Shelf,Active
Carbamazepine,Tegretol,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Carbamazepine,Neurological,Tablet,200mg,tablet,Oral,Seizures; trigeminal neuralgia; bipolar,AV block; bone marrow suppression history; MAOIs,Drowsiness; SJS (HLA-B*1502 risk); hyponatremia,Many CYP3A4 interactions; OCP failure,Below 25C; protect from moisture,Screen HLA-B*1502 in Asian patients; CBC monitoring,false,true,280,4.10,8.00 ETB,60,200,2026-10-15,CBZ1026-A,Neurology Shelf,Active
Diazepam,Valium,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Diazepam,Controlled Substance,Tablet,5mg,tablet,Oral,Anxiety; seizures; alcohol withdrawal; muscle spasm,Severe respiratory insufficiency; sleep apnea; myasthenia,Sedation; dependence; respiratory depression,CNS depressants; opioids (fatal interaction risk),Below 25C; dry; secure storage,Schedule IV controlled drug; double-lock storage; log dispensing,true,true,80,5.20,12.00 ETB,30,100,2026-09-05,DZP0926-A,Controlled Drugs Cabinet,Active
Amitriptyline,Elavil,Addis Pharmaceuticals Factory,Addis Pharmaceuticals Factory,Amitriptyline HCl,Neurological,Tablet,25mg,tablet,Oral,Depression; neuropathic pain; migraine prophylaxis,Recent MI; MAOIs within 14 days; closed-angle glaucoma,Anticholinergic effects; QT prolongation; sedation,MAOIs; SSRIs (serotonin syndrome),Below 25C; dry,Bedtime dosing; warn about anticholinergic effects,false,true,360,2.70,5.50 ETB,60,200,2027-01-30,AMI0127-A,Neurology Shelf,Active
Fluoxetine,Prozac,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Fluoxetine HCl,Neurological,Capsule,20mg,capsule,Oral,Depression; OCD; bulimia,MAOIs within 14 days; pimozide; thioridazine,Insomnia; sexual dysfunction; GI upset,MAOIs; warfarin; tramadol,Below 25C; dry,Onset 4-6 weeks; counsel on suicide risk monitoring,false,true,240,4.80,9.50 ETB,50,200,2026-12-12,FLX1226-A,Neurology Shelf,Active
Haloperidol,Haldol,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Haloperidol,Neurological,Tablet,5mg,tablet,Oral,Schizophrenia; acute psychosis; severe agitation,Parkinson disease; CNS depression; severe cardiac disease,Extrapyramidal symptoms; QT prolongation; NMS,QT-prolonging drugs; CNS depressants,Below 25C; protect from light,Monitor EPS; ECG baseline; counsel on tardive dyskinesia,false,true,180,3.20,6.50 ETB,40,150,2026-08-15,HAL0826-A,Psychiatry Shelf,Active
Insulin Regular,Humulin R,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Human Regular Insulin,Antidiabetic,Injection,100 IU/mL,vial,Subcutaneous,Type 1 and 2 DM; DKA; perioperative glucose control,Hypoglycemia,Hypoglycemia; lipodystrophy at injection sites,Beta-blockers mask hypo; corticosteroids raise BG,2-8C (refrigerated); 28d at room temp once opened,Cold chain critical; rotate injection sites,false,true,140,85.00,180.00 ETB,30,80,2026-07-10,INR0726-A,Cold Storage Room,Active
Insulin NPH,Humulin N,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Human NPH Insulin (isophane),Antidiabetic,Injection,100 IU/mL,vial,Subcutaneous,Type 1 and 2 DM (intermediate-acting),Hypoglycemia,Hypoglycemia; weight gain; lipodystrophy,Beta-blockers mask hypo; alcohol,2-8C (refrigerated); do not freeze,Mix gently by rolling vial; rotate sites,false,true,120,92.00,200.00 ETB,30,80,2026-06-28,INN0626-A,Cold Storage Room,Active
Thyroxine,Levothyroxine,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Levothyroxine Sodium,Hormonal,Tablet,100mcg,tablet,Oral,Hypothyroidism,Untreated thyrotoxicosis; acute MI; adrenal insufficiency,Palpitations; weight loss; insomnia (overdose),Calcium/iron reduce absorption; warfarin,Below 25C; protect from light and moisture,Take on empty stomach; 4h gap from calcium/iron,false,true,420,1.60,3.20 ETB,80,300,2026-10-05,LVT1026-A,Endocrine Shelf,Active
Ferrous Sulfate,Fersolate,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Ferrous Sulfate,Vitamins/Supplements,Tablet,200mg,tablet,Oral,Iron deficiency anemia,Hemochromatosis; hemolytic anemia,Black stools; constipation; GI upset,Reduces tetracycline/fluoroquinolone absorption,Below 25C; dry,Take with vitamin C; avoid milk/tea around dose,false,false,860,0.80,1.80 ETB,150,600,2027-03-25,FES0327-A,Main Pharmacy OTC,Active
Folic Acid,Folvite,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Folic Acid,Vitamins/Supplements,Tablet,5mg,tablet,Oral,Folate deficiency; pregnancy prophylaxis,Untreated B12 deficiency (mask),Rare GI upset; allergic reaction (rare),Phenytoin levels reduced,Below 25C; dry,Recommend preconception in women of childbearing age,false,false,920,0.50,1.20 ETB,150,600,2027-04-12,FOL0427-A,Main Pharmacy OTC,Active
Vitamin B Complex,B-Complex Forte,Sino-Ethiop Associate (Africa) PLC,Sino-Ethiop Associate (Africa) PLC,B1 + B2 + B3 + B6 + B12,Vitamins/Supplements,Tablet,Multi,tablet,Oral,Vitamin B deficiency states; alcoholism; neuropathy,Hypersensitivity,Bright yellow urine (B2); rare allergic reaction,None significant,Below 25C; dry,Take with food,false,false,760,1.40,2.80 ETB,150,500,2026-12-30,VBC1226-A,Main Pharmacy OTC,Active
ORS,Oralyte,Ethiopian Pharmaceuticals Supply Agency (EPSA),Ethiopian Pharmaceuticals Supply Agency (EPSA),NaCl + KCl + Glucose + Trisodium Citrate,Gastrointestinal,Sachet,Low osmolarity (245),sachet,Oral,Acute diarrhea; rehydration,Intestinal obstruction; severe vomiting; anuria,Hypernatremia if reconstituted incorrectly,None significant,Below 30C; dry,Dissolve in 1L clean water; use within 24h,false,false,1100,2.80,5.50 ETB,200,800,2027-05-20,ORS0527-A,Main Pharmacy OTC,Active
Morphine,Morphine Sulfate,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Morphine Sulfate,Controlled Substance,Injection,10mg/mL,ampoule,IV/IM/SC,Severe pain; palliative care; acute pulmonary edema,Respiratory depression; head injury; paralytic ileus,Respiratory depression; constipation; dependence,CNS depressants; MAOIs (severe interaction),Below 25C; secure storage; protect from light,Schedule II controlled drug; narcotic register required; double-lock,true,true,45,28.00,55.00 ETB,20,60,2026-08-08,MOR0826-A,Controlled Drugs Cabinet,Active
Tramadol,Ultram,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Tramadol HCl,Controlled Substance,Capsule,50mg,capsule,Oral,Moderate to severe pain,Severe respiratory depression; MAOIs; epilepsy (uncontrolled),Nausea; dizziness; seizure risk; dependence,SSRIs (serotonin syndrome); warfarin,Below 25C; dry; secure storage,Schedule IV controlled drug; log dispensing; counsel on seizure risk,true,true,110,6.50,13.00 ETB,30,100,2026-10-20,TRM1026-A,Controlled Drugs Cabinet,Active
Gentamicin,Garamycin,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Gentamicin Sulfate,Antibiotic,Injection,80mg/2mL,ampoule,IV/IM,Severe gram-negative infections; sepsis,Hypersensitivity; myasthenia gravis,Nephrotoxicity; ototoxicity; neuromuscular block,Loop diuretics; vancomycin; NM blockers,Below 25C; protect from light,Therapeutic drug monitoring; monitor renal function and audiometry,false,true,220,9.50,18.00 ETB,40,150,2026-07-30,GEN0726-A,Cold Storage Room,Active
Cloxacillin,Orbenin,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Cloxacillin Sodium,Antibiotic,Capsule,500mg,capsule,Oral,Staphylococcal infections (penicillinase-resistant),Penicillin hypersensitivity,Rash; diarrhea; rare hepatitis,Probenecid increases levels; warfarin,Below 25C; dry,Take on empty stomach; complete full course,false,true,420,3.60,7.00 ETB,80,300,2026-11-18,CLX1126-A,Main Pharmacy Shelf A6,Active
Ceftriaxone,Rocephin,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Ceftriaxone Sodium,Antibiotic,Injection,1g,vial,IV/IM,Severe bacterial infections; meningitis; gonorrhea,Cephalosporin hypersensitivity; neonates with hyperbilirubinemia,Diarrhea; biliary sludge; injection site pain,Calcium-containing IV solutions (do not co-administer),Below 25C; protect from light; reconstitute fresh,Do not mix with calcium-containing solutions in same line,false,true,260,18.50,35.00 ETB,40,150,2026-09-12,CTR0926-A,Refrigerator (Cold Storage Room),Active
Fluconazole,Diflucan,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Fluconazole,Antifungal,Capsule,150mg,capsule,Oral,Candidiasis (vaginal; oropharyngeal; systemic); cryptococcosis,Concurrent terfenadine; pregnancy (high dose),Hepatotoxicity; QT prolongation; rash,Many CYP interactions; warfarin; statins,Below 25C; dry,Counsel on liver toxicity signs; monitor LFTs in chronic use,false,true,320,5.40,10.00 ETB,60,200,2026-12-08,FLZ1226-A,Main Pharmacy Shelf B3,Active
Mebendazole,Vermox,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Mebendazole,Antiparasitic,Tablet,100mg,tablet,Oral,Intestinal worm infestations (ascaris; hookworm; pinworm),First trimester pregnancy; under 1 year,Mild abdominal pain; rare neutropenia,Cimetidine increases levels,Below 25C; dry,Repeat dose in 2-3 weeks if reinfection,false,false,780,1.20,2.50 ETB,150,500,2026-11-28,MBZ1126-A,Main Pharmacy OTC,Active
Albendazole,Zentel,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Albendazole,Antiparasitic,Tablet,400mg,tablet,Oral,Intestinal worms; hydatid disease; neurocysticercosis,Pregnancy; hypersensitivity,Mild GI upset; hepatotoxicity; rare leukopenia,Cimetidine; dexamethasone increases levels,Below 25C; dry,Take with fatty meal for systemic absorption,false,false,640,2.20,4.50 ETB,120,400,2026-10-12,ALB1026-A,Main Pharmacy Shelf B4,Active
Zinc Sulfate,Zinkid,Sino-Ethiop Associate (Africa) PLC,Sino-Ethiop Associate (Africa) PLC,Zinc Sulfate,Vitamins/Supplements,Tablet,20mg,tablet,Oral,Acute diarrhea in children (with ORS); zinc deficiency,Hemochromatosis (caution),Nausea; metallic taste,Reduces tetracycline/quinolone absorption,Below 25C; dry,WHO/MOH protocol: 10-14 days with ORS in diarrhea,false,false,820,0.90,2.00 ETB,150,500,2027-01-15,ZNS0127-A,Main Pharmacy OTC,Active
Vitamin A,Retinol,Sino-Ethiop Associate (Africa) PLC,Ethiopian Pharmaceuticals Supply Agency (EPSA),Retinyl Palmitate,Vitamins/Supplements,Capsule,200000 IU,capsule,Oral,Vitamin A deficiency; measles; xerophthalmia,Pregnancy (high dose teratogenic); hypervitaminosis A,Headache; hypervitaminosis A (chronic high dose),Acitretin; isotretinoin,Below 25C; protect from light,EPI schedule: 6m-5y every 6 months (MOH program),false,false,540,3.20,6.50 ETB,80,300,2026-12-20,VTA1226-A,EPI Cold Storage,Active
Aspirin,Bayer Aspirin,Sino-Ethiop Associate (Africa) PLC,Sino-Ethiop Associate (Africa) PLC,Acetylsalicylic Acid,Cardiovascular,Tablet,100mg,tablet,Oral,Secondary prevention of MI/stroke; antiplatelet,Active peptic ulcer; bleeding disorders; children with viral illness (Reye),GI bleeding; tinnitus; bronchospasm in sensitive patients,Anticoagulants; NSAIDs; methotrexate,Below 25C; dry,Take with food; counsel on bleeding signs,false,false,920,0.60,1.50 ETB,150,600,2027-02-25,ASP0227-A,Cardiology Shelf,Active
Hydrochlorothiazide,HCTZ,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Hydrochlorothiazide,Antihypertensive,Tablet,25mg,tablet,Oral,Hypertension; edema,Anuria; sulfa allergy; severe renal impairment,Hypokalemia; hyperuricemia; hyperglycemia; photosensitivity,Lithium toxicity; NSAIDs reduce effect,Below 25C; dry,Take in morning; monitor electrolytes,false,true,680,1.40,2.80 ETB,120,400,2027-03-08,HCT0327-A,Cardiology Shelf,Active
Digoxin,Lanoxin,Cadila Pharmaceuticals Ethiopia,Ethiopian Pharmaceuticals Supply Agency (EPSA),Digoxin,Cardiovascular,Tablet,0.25mg,tablet,Oral,Heart failure; atrial fibrillation rate control,VF; hypertrophic obstructive cardiomyopathy; WPW with AF,Narrow therapeutic index; arrhythmias; visual changes,Amiodarone; verapamil; diuretics (K+ effect),Below 25C; dry,Therapeutic drug monitoring; monitor K+ and renal function,false,true,180,4.20,8.50 ETB,40,150,2026-08-05,DIG0826-A,Cardiology Shelf,Active
Salbutamol,Ventolin,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Salbutamol Sulfate,Respiratory,Inhaler,100mcg/puff,inhaler,Inhalation,Asthma; COPD; bronchospasm,Hypersensitivity; severe cardiac disease (caution),Tremor; tachycardia; hypokalemia (high dose),Beta-blockers; diuretics (K+),Below 30C; do not puncture; protect from heat,Counsel on correct inhaler technique; spacer for children,false,true,260,38.00,75.00 ETB,40,150,2026-11-15,SAL1126-A,Respiratory Shelf,Active
Chloramphenicol Eye Drops,Chloromycetin Eye Drops,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Chloramphenicol 0.5%,Ophthalmology,Eye Drops,0.5%,bottle,Ophthalmic,Bacterial conjunctivitis; corneal ulcer,Hypersensitivity; aplastic anemia history,Local stinging; rare aplastic anemia (systemic),None topical,2-8C (refrigerated after opening),Discard 28 days after opening; cold chain,false,true,180,12.50,25.00 ETB,40,150,2026-09-28,CHL0926-A,Ophthalmology Refrigerator,Active
